
Full Report
epoch=1900
numDocs=2117
numTokens=35464
numWords=2785
numTopics=20

TOPIC 0  (total count=2095)
SYMBOL             WORD    COUNT   PROB          Z
   431         whatever       20   0.009       3.1
  2656            least       20   0.009       2.0
   454           regret       19   0.009       4.1
   626             part       18   0.008       1.9
   907           former       18   0.008       2.6
  2659          conduct       18   0.008       3.5
  2663      consequence       18   0.008       2.8
   227            doubt       17   0.008       2.4
   317           wholly       16   0.008       2.8
   583             lost       16   0.008       2.7

TOPIC 6  (total count=1919)
SYMBOL             WORD    COUNT   PROB          Z
--------------------------------------------------
  1859            whole       42   0.022       4.2
  1688         received       37   0.019       4.3
  2569             seen       35   0.018       3.5
   277         civility       34   0.017       4.9
   364             each       33   0.017       3.7
   450        attention       33   0.017       3.6
   270             both       32   0.016       3.3
  1792             side       31   0.016       3.8
  1304           seemed       30   0.015       3.3
  2574           either       28   0.014       3.2
   506             idea       27   0.014       3.5
  1043          pleased       26   0.013       3.8
  1105        pemberley       26   0.013       3.2
  2027            those       25   0.013       2.8
  1248          evening       22   0.011       2.1
  2360            niece       22   0.011       4.4
   310           wished       21   0.011       3.0
   239           passed       20   0.010       2.1
   575        perfectly       19   0.010       2.4
   221       acquainted       18   0.009       3.4
  1766             rest       18   0.009       2.5
  1919              put       18   0.009       2.9
   358            these       17   0.009       1.6
   989        surprised       17   0.009       2.6
  1065          engaged       17   0.009       2.4
  1425             took       17   0.009       1.9
  2032        necessary       17   0.009       2.8
   671             paid       16   0.008       3.4
  1649          subject       16   0.008       1.3
   839              end       15   0.008       2.5

TOPIC 7  (total count=1882)
SYMBOL             WORD    COUNT   PROB          Z
--------------------------------------------------
  2503          amiable       36   0.019       5.7
   970            pride       33   0.017       4.5
  1100           reason       30   0.016       3.8
  1649          subject       28   0.015       2.6
  1769        behaviour       25   0.013       3.0
  2574           either       25   0.013       2.8
  2245          towards       24   0.013       2.5
  1387          perhaps       23   0.012       2.2
  2333            still       23   0.012       2.3
     9           regard       22   0.012       2.8
  1153         interest       22   0.012       4.0
   669             pain       21   0.011       3.7
   893          opinion       21   0.011       2.1
   364             each       20   0.010       2.1
  2340            heart       20   0.010       2.6
    68            while       19   0.010       1.7
   643          natural       19   0.010       3.8
  1664            cause       19   0.010       4.1
  2761             kind       19   0.010       2.0
   286           vanity       18   0.009       4.0
  2093            point       18   0.009       2.3
  2434           highly       18   0.009       3.1
  1171          feeling       17   0.009       2.4
  1894            whose       17   0.009       1.8
   358            these       16   0.008       1.5
   119       everything       15   0.008       1.9
   657     acquaintance       15   0.008       1.7
  1216         together       15   0.008       1.5
  1515            trust       15   0.008       3.7
  2371          between       15   0.008       1.5

TOPIC 8  (total count=1975)
SYMBOL             WORD    COUNT   PROB          Z
--------------------------------------------------
   371          morning       49   0.024       5.0
   980             next       49   0.024       5.4
  2447      netherfield       47   0.023       5.0
  1579             town       37   0.018       4.1
  1475          sisters       35   0.017       3.5
   244       invitation       32   0.016       5.2
   354            party       32   0.016       3.8
   170            visit       30   0.015       3.8
   661           course       28   0.014       3.8
   926          arrival       27   0.013       4.6
  1220         carriage       24   0.012       3.3
   291            girls       23   0.011       3.1
  1439         business       23   0.011       3.1
  1478          younger       23   0.011       3.9
   138          brother       22   0.011       2.0
  1276           ladies       22   0.011       2.1
  1433          country       21   0.010       2.9
  2141        delighted       21   0.010       4.1
   579          settled       19   0.009       2.4
  1104            given       19   0.009       2.2
  1270           street       19   0.009       4.1
  2506          obliged       19   0.009       3.2
  2784        daughters       19   0.009       2.3
   158         officers       18   0.009       2.9
   189         returned       18   0.009       2.3
  1041            three       18   0.009       1.9
  1248          evening       18   0.009       1.6
  2647            leave       18   0.009       1.8
   897              get       17   0.008       2.0
   976           london       17   0.008       1.9

TOPIC 9  (total count=1912)
SYMBOL             WORD    COUNT   PROB          Z
--------------------------------------------------
  1897             gone       62   0.032       7.5
  2417             went       43   0.022       4.8
  1964             left       41   0.021       4.7
   976           london       38   0.020       4.7
  2334              off       36   0.019       4.2
  1317            going       35   0.018       4.2
   977           coming       34   0.018       3.9
  1041            three       33   0.017       3.8
   603            place       32   0.017       3.2
  2377            found       30   0.015       3.3
  1231          meryton       29   0.015       3.4
   986            kitty       28   0.014       2.9
   988             news       27   0.014       4.5
  1200            hours       27   0.014       4.9
  1867            added       27   0.014       2.8
  1216         together       25   0.013       2.7
   902             near       24   0.012       3.6
  1579             town       24   0.012       2.5
  2629         brighton       24   0.012       4.6
    25             days       22   0.011       3.7
  2656            least       22   0.011       2.3
  1360          certain       21   0.011       2.4
   406            since       20   0.010       2.2
   154             call       19   0.010       3.3
  1754            seems       19   0.010       3.8
   400             stay       18   0.009       2.6
  1379              ten       18   0.009       2.8
  1740            bring       17   0.009       3.8
    91          friends       16   0.008       1.8
  2266        fortnight       16   0.008       3.1

TOPIC 10  (total count=2008)
SYMBOL             WORD    COUNT   PROB          Z
--------------------------------------------------
  1049             word       29   0.014       3.8
  1826            smile       29   0.014       5.1
  2534           master       28   0.014       5.0
   320           turned       27   0.013       3.7
  2245          towards       26   0.013       2.7
   494        continued       25   0.012       3.1
  1151             eyes       25   0.012       3.1
   195           saying       23   0.011       3.6
   435             down       23   0.011       2.2
   714     conversation       23   0.011       2.5
  2591             whom       23   0.011       2.0
   313           length       21   0.010       3.4
   706              few       21   0.010       2.0
  1304           seemed       21   0.010       2.1
  1867            added       21   0.010       2.0
   513             look       20   0.010       2.2
  1958              air       19   0.009       3.2
  2573          talking       19   0.009       2.7
    68            while       18   0.009       1.6
   675            speak       18   0.009       1.8
