
Full Report
epoch=1900
numDocs=2117
numTokens=35464
numWords=2785
numTopics=20

TOPIC 0  (total count=2095)
SYMBOL             WORD    COUNT   PROB          Z

five(18) o(18) clock(18) ladies(8) retired(16) dress(4) half(16) past(4) six(14) summoned(16) dinner(8) civil(8) inquiries(4) amongst(16) superior(16) solicitude(8) favourable(14) answer(8) means(16) sisters(8) hearing(4) repeated(14) three(8) four(18) times(8) grieved(14) shocking(14) bad(12) cold(16) excessively(14) disliked(14) ill(5) themselves(8) matter(12) indifference(4) towards(16) immediately(8) enjoyment(4) former(5) dislike(12) 

DOC 224
TOPIC    COUNT    PROB
----------------------
   16       10   0.316
    3        7   0.222
    7        7   0.222
    4        4   0.128
   17        2   0.066

brother(4) party(16) whom(3) regard(7) complacency(4) anxiety(4) evident(3) attentions(7) pleasing(7) prevented(7) feeling(7) believed(3) considered(7) others(16) notice(16) engrossed(3) scarcely(3) less(3) hurst(16) whom(3) sat(16) lived(4) eat(16) drink(17) play(16) cards(16) found(7) prefer(17) plain(16) dish(16) 

DOC 225
TOPIC    COUNT    PROB
----------------------
   12        4   0.216
    4        3   0.163
   10        3   0.163
   16        3   0.163
   17        2   0.111
    6        1   0.058
   14        1   0.058

dinner(17) returned(17) directly(14) began(4) abusing(10) manners(6) pronounced(10) bad(12) mixture(12) pride(12) impertinence(12) conversation(16) style(4) beauty(16) hurst(16) same(4) added(10) 

DOC 226
TOPIC    COUNT    PROB
----------------------
    3        4   0.342
    0        2   0.175
   11        2   0.175
    4        1   0.092
   15        1   0.092

short(15) recommend(3) excellent(0) walker(11) forget(3) appearance(3) morning(11) looked(3) almost(0) wild(4) 

DOC 227
TOPIC    COUNT    PROB
----------------------
   13        5   0.464
   16        2   0.191
   17        2   0.191

louisa(13) hardly(13) keep(13) countenance(13) nonsensical(17) why(17) country(13) cold(16) hair(16) 

DOC 228
TOPIC    COUNT    PROB
----------------------
   16        4   0.342
   14        3   0.258
   15        2   0.175
    6        1   0.092

petticoat(14) petticoat(14) six(14) deep(16) absolutely(6) certain(15) gown(16) down(16) doing(16) office(15) 

DOC 229
TOPIC    COUNT    PROB
----------------------
   17        3   0.221
   10        2   0.150
   13        2   0.150
    2        1   0.079
    3        1   0.079
    5        1   0.079
    8        1   0.079
   14        1   0.079

picture(10) exact(10) louisa(13) lost(5) upon(17) looked(2) remarkably(13) morning(8) dirty(3) petticoat(14) escaped(17) notice(17) 

DOC 230
TOPIC    COUNT    PROB
----------------------
   12        1   0.275
   19        1   0.275

observed(12) inclined(19) 

DOC 231
TOPIC    COUNT    PROB
----------------------
   15        1   0.367

certainly(15) 

DOC 232
TOPIC    COUNT    PROB
----------------------
    9        8   0.337
   18        3   0.129
   19        3   0.129
    1        2   0.088
    4        2   0.088
    2        1   0.046
    7        1   0.046
    8        1   0.046
   11        1   0.046

walk(11) three(9) miles(9) four(18) miles(9) five(18) miles(9) whatever(2) above(9) alone(9) alone(9) mean(1) seems(9) show(19) abominable(1) sort(19) conceited(4) independence(18) country(19) town(8) indifference(4) decorum(7) 

DOC 233
TOPIC    COUNT    PROB
----------------------
    0        2   0.420
    7        1   0.220

shows(0) affection(0) pleasing(7) 

DOC 234
TOPIC    COUNT    PROB
----------------------
    3        5   0.464
    0        2   0.191
    1        1   0.100
   12        1   0.100

afraid(1) observed(12) half(3) whisper(0) rather(3) affected(0) admiration(3) fine(3) eyes(3) 

DOC 235
TOPIC    COUNT    PROB
----------------------
   16        3   0.344
   11        2   0.233
    5        1   0.122
   10        1   0.122

exercise(11) short(11) pause(10) followed(16) speech(16) hurst(16) began(5) 

DOC 236
TOPIC    COUNT    PROB
----------------------
    0        3   0.258
    7        3   0.258
    3        1   0.092
   13        1   0.092
   17        1   0.092
   19        1   0.092

excessive(7) regard(0) sweet(13) girl(7) heart(7) settled(17) low(3) connections(0) afraid(19) chance(0) 

DOC 237
TOPIC    COUNT    PROB
----------------------
   14        3   0.620

uncle(14) attorney(14) meryton(14) 

DOC 238
TOPIC    COUNT    PROB
----------------------
    9        2   0.350
   13        1   0.183
   14        1   0.183

another(14) lives(13) somewhere(9) near(9) 

DOC 239
TOPIC    COUNT    PROB
----------------------
    0        2   0.300
    6        2   0.300
   16        1   0.157

capital(16) added(0) both(6) laughed(6) heartily(0) 

DOC 240
TOPIC    COUNT    PROB
----------------------
    0        1   0.220
    3        1   0.220
   13        1   0.220

uncles(0) less(3) agreeable(13) 

DOC 241
TOPIC    COUNT    PROB
----------------------
    5        3   0.344
    0        1   0.122
    1        1   0.122
    8        1   0.122
   12        1   0.122

materially(5) lessen(8) chance(0) marrying(5) men(1) consideration(12) world(5) 

DOC 242
TOPIC    COUNT    PROB
----------------------
   12        3   0.388
    4        1   0.138
   15        1   0.138
   17        1   0.138

speech(12) answer(4) sisters(12) gave(17) expense(15) relations(12) 

DOC 243
TOPIC    COUNT    PROB
----------------------
   11       13   0.291
   16       13   0.291
   17        8   0.180
    5        4   0.091
    2        2   0.047
    6        2   0.047
   18        1   0.024

renewal(5) tenderness(16) returned(11) leaving(17) dining(11) parlour(11) sat(16) summoned(16) coffee(16) still(11) poorly(2) quit(6) late(18) evening(17) comfort(17) seeing(16) sleep(16) seemed(17) rather(17) right(5) pleasant(11) downstairs(11) entering(11) drawing(16) found(11) whole(6) party(16) immediately(11) invited(17) join(16) playing(16) high(11) declined(11) making(16) excuse(5) amuse(17) short(11) stay(17) below(11) book(16) hurst(16) looked(2) astonishment(5) 

DOC 244
TOPIC    COUNT    PROB
----------------------
   17        2   0.350
    4        1   0.183
   16        1   0.183

prefer(17) reading(4) cards(16) rather(17) 

DOC 245
TOPIC    COUNT    PROB
----------------------
    1        2   0.300
    9        1   0.157
   13        1   0.157
   16        1   0.157

eliza(13) cards(16) reader(9) anything(1) else(1) 

DOC 246
TOPIC    COUNT    PROB
----------------------
    5        3   0.344
    2        1   0.122
    3        1   0.122
    7        1   0.122
   19        1   0.122

deserve(3) neither(5) praise(2) nor(5) censure(5) reader(7) things(19) 

DOC 247
TOPIC    COUNT    PROB
----------------------
    0        1   0.275
    8        1   0.275

increased(0) seeing(8) 

DOC 248
TOPIC    COUNT    PROB
----------------------
   11        5   0.340
   16        5   0.340
   14        2   0.140
    8        1   0.073

thanked(14) heart(14) walked(11) towards(16) table(16) few(11) books(16) immediately(11) offered(8) fetch(11) others(16) library(16) afforded(11) 

DOC 249
TOPIC    COUNT    PROB
----------------------
    2        3   0.344
    3        1   0.122
    5        1   0.122
    6        1   0.122
   18        1   0.122

collection(6) larger(18) benefit(2) credit(2) idle(5) fellow(2) looked(3) 

DOC 250
TOPIC    COUNT    PROB
----------------------
    2        1   0.183
    6        1   0.183
    7        1   0.183
   18        1   0.183

assured(2) suit(7) perfectly(18) those(6) 

DOC 251
TOPIC    COUNT    PROB
----------------------
    6        4   0.410
   11        2   0.210
   16        2   0.210

astonished(6) left(6) small(11) collection(6) books(16) delightful(11) library(16) pemberley(6) 

DOC 252
TOPIC    COUNT    PROB
----------------------
    5        1   0.275
   14        1   0.275

ought(14) work(5) 

DOC 253
TOPIC    COUNT    PROB
----------------------
    9        1   0.220
   15        1   0.220
   16        1   0.220

added(9) yourself(15) books(16) 

DOC 254
TOPIC    COUNT    PROB
----------------------
    9        4   0.586
   16        1   0.157

comprehend(9) neglect(9) library(16) days(9) these(9) 

DOC 255
TOPIC    COUNT    PROB
----------------------
   18        4   0.342
   11        3   0.258
    0        1   0.092
   12        1   0.092
   13        1   0.092

neglect(18) neglect(12) add(0) beauties(11) noble(18) place(11) charles(13) half(18) delightful(11) pemberley(18) 

DOC 256
TOPIC    COUNT    PROB
----------------------



DOC 257
TOPIC    COUNT    PROB
----------------------
   18        7   0.592
    2        3   0.258

advise(2) purchase(18) neighbourhood(18) take(18) pemberley(18) kind(2) finer(2) county(18) england(18) derbyshire(18) 

DOC 258
TOPIC    COUNT    PROB
----------------------
    7        2   0.350
    5        1   0.183
   11        1   0.183

heart(7) buy(5) pemberley(11) itself(7) 

DOC 259
TOPIC    COUNT    PROB
----------------------
   13        2   0.525

talking(13) charles(13) 

DOC 260
TOPIC    COUNT    PROB
----------------------
   19        3   0.344
   18        2   0.233
    1        1   0.122
    4        1   0.122

upon(19) word(19) caroline(4) possible(19) get(1) pemberley(18) purchase(18) 

DOC 261
TOPIC    COUNT    PROB
----------------------
   16        9   0.506
    8        5   0.283
    6        2   0.117

caught(8) passed(6) leave(8) attention(6) book(16) wholly(8) aside(16) drew(16) near(16) card(16) table(16) stationed(16) between(8) eldest(8) observe(16) game(16) 

DOC 262
TOPIC    COUNT    PROB
----------------------
   13        2   0.350
    2        1   0.183
    5        1   0.183

grown(13) since(5) spring(2) tall(13) 

DOC 263
TOPIC    COUNT    PROB
----------------------
   13        2   0.525

height(13) rather(13) 

DOC 264
TOPIC    COUNT    PROB
----------------------
   16        3   0.258
   13        2   0.175
    3        1   0.092
    5        1   0.092
    8        1   0.092
   12        1   0.092
   18        1   0.092

met(13) anybody(13) delighted(8) countenance(3) manners(12) extremely(16) accomplished(5) age(18) performance(16) pianoforte(16) 

DOC 265
TOPIC    COUNT    PROB
----------------------
    5        1   0.220
   10        1   0.220
   16        1   0.220

ladies(16) patience(10) accomplished(5) 

DOC 266
TOPIC    COUNT    PROB
----------------------
   13        3   0.517
    5        1   0.183

ladies(13) accomplished(5) charles(13) mean(13) 

DOC 267
TOPIC    COUNT    PROB
----------------------
    3        1   0.138
    5        1   0.138
   12        1   0.138
   13        1   0.138
   16        1   0.138
   19        1   0.138

tables(16) scarcely(3) anyone(19) spoken(12) informed(13) accomplished(5) 

DOC 268
TOPIC    COUNT    PROB
----------------------
    5        7   0.309
    7        5   0.222
   19        5   0.222
   14        2   0.091
   16        2   0.091

list(14) common(7) extent(7) accomplishments(7) truth(14) word(19) applied(5) woman(5) deserves(19) otherwise(19) far(5) agreeing(19) estimation(7) ladies(16) general(5) boast(19) knowing(5) half(16) whole(5) acquaintance(7) accomplished(5) 

DOC 269
TOPIC    COUNT    PROB
----------------------
    5        1   0.367

nor(5) 

DOC 270
TOPIC    COUNT    PROB
----------------------
    5        2   0.263
    2        1   0.138
    6        1   0.138
    9        1   0.138
   13        1   0.138

observed(2) comprehend(5) deal(9) idea(6) accomplished(5) woman(13) 

DOC 271
TOPIC    COUNT    PROB
----------------------
    5        1   0.275
   17        1   0.275

comprehend(5) deal(17) 

DOC 272
TOPIC    COUNT    PROB
----------------------
   10        7   0.229
   13        7   0.229
    0        4   0.132
   16        4   0.132
    3        3   0.100
    4        1   0.035
    9        1   0.035
   15        1   0.035
   19        1   0.035

certainly(13) faithful(0) esteemed(19) accomplished(13) greatly(15) usually(10) met(13) woman(13) thorough(16) knowledge(0) music(16) singing(16) drawing(16) dancing(13) deserve(3) word(10) besides(0) possess(13) certain(9) something(13) air(10) walking(10) tone(10) voice(3) address(10) expressions(0) word(10) half(3) deserved(4) 

DOC 273
TOPIC    COUNT    PROB
----------------------
    0        3   0.310
   12        2   0.210
   13        2   0.210
    4        1   0.110

possess(13) added(0) add(0) something(13) improvement(12) mind(12) extensive(0) reading(4) 

DOC 274
TOPIC    COUNT    PROB
----------------------
    5        3   0.282
   17        3   0.282
    4        1   0.100
   13        1   0.100
   14        1   0.100

longer(17) surprised(17) knowing(5) six(14) accomplished(5) women(13) rather(17) wonder(4) knowing(5) 

DOC 275
TOPIC    COUNT    PROB
----------------------
   19        3   0.443
    5        2   0.300

severe(19) upon(19) sex(19) doubt(5) possibility(5) 

DOC 276
TOPIC    COUNT    PROB
----------------------
    5        3   0.388
    3        2   0.263
   19        1   0.138

woman(5) taste(3) application(5) elegance(3) describe(19) united(5) 

DOC 277
TOPIC    COUNT    PROB
----------------------
    5        8   0.352
   10        5   0.222
    6        3   0.135
   16        3   0.135
   13        2   0.091

hurst(16) both(5) against(5) injustice(6) doubt(5) both(5) protesting(5) knew(5) women(13) answered(10) description(5) hurst(16) called(10) order(10) complaints(5) going(13) forward(10) conversation(16) end(6) afterwards(6) left(10) 

DOC 278
TOPIC    COUNT    PROB
----------------------
    1        3   0.207
   11        3   0.207
   13        3   0.207
   12        2   0.140
   19        2   0.140

door(11) closed(11) those(12) ladies(13) seek(1) recommend(13) themselves(12) sex(19) men(1) dare(13) opinion(19) mean(1) art(11) 

DOC 279
TOPIC    COUNT    PROB
----------------------
    2        6   0.555
    3        3   0.282

undoubtedly(2) whom(3) remark(2) chiefly(3) addressed(2) arts(2) ladies(3) sometimes(2) whatever(2) 

DOC 280
TOPIC    COUNT    PROB
----------------------
    4        3   0.443
   16        1   0.157
   18        1   0.157

entirely(18) satisfied(4) reply(16) continue(4) subject(4) 

DOC 281
TOPIC    COUNT    PROB
----------------------
    8       14   0.328
    4        9   0.212
    1        5   0.119
    3        5   0.119
   12        5   0.119
    6        3   0.072

joined(3) worse(1) leave(8) urged(12) jones(8) sent(4) immediately(8) while(3) sisters(8) convinced(12) country(8) advice(4) service(1) recommended(8) express(4) town(8) hear(1) unwilling(4) comply(4) brother(4) proposal(8) settled(8) jones(8) sent(4) early(12) morning(8) decidedly(6) uncomfortable(3) sisters(12) declared(8) miserable(1) supper(8) while(3) find(4) relief(3) giving(12) housekeeper(8) directions(4) attention(6) paid(6) sick(1) 

DOC 282
TOPIC    COUNT    PROB
----------------------



DOC 283
TOPIC    COUNT    PROB
----------------------
    8       17   0.462
    4        7   0.192
    2        6   0.165
    0        4   0.111
    9        1   0.030

passed(0) chief(2) night(0) morning(8) able(4) send(9) tolerable(2) answer(4) inquiries(4) early(8) received(4) afterwards(2) elegant(2) ladies(8) waited(8) sisters(8) spite(0) note(8) sent(4) visit(8) form(8) judgement(4) situation(0) note(8) immediately(8) dispatched(8) contents(4) quickly(8) complied(2) accompanied(8) youngest(8) girls(8) reached(8) netherfield(8) breakfast(2) 

DOC 284
TOPIC    COUNT    PROB
----------------------
   11       10   0.259
    8        8   0.208
    4        5   0.131
   17        4   0.105
    3        2   0.054
    5        2   0.054
    7        2   0.054
    0        1   0.028
    1        1   0.028
    2        1   0.028

found(11) apparent(8) danger(17) miserable(1) satisfied(11) seeing(8) alarming(4) recovering(8) immediately(11) restoration(0) health(17) probably(11) netherfield(8) listen(3) therefore(4) daughter(2) proposal(8) carried(5) home(17) neither(5) arrived(4) same(4) advisable(4) sitting(11) while(7) appearance(3) invitation(8) three(8) daughters(8) attended(11) breakfast(11) parlour(11) met(11) hopes(7) found(11) worse(17) expected(6) 

DOC 285
TOPIC    COUNT    PROB
----------------------
    8        3   0.282
   10        3   0.282
    2        2   0.191
    9        1   0.100

sir(2) answer(10) deal(9) ill(2) moved(10) jones(8) moving(10) longer(8) kindness(8) 

DOC 286
TOPIC    COUNT    PROB
----------------------
   17        2   0.420
    4        1   0.220

removed(17) hear(4) removal(17) 

DOC 287
TOPIC    COUNT    PROB
----------------------
    6        4   0.342
   15        3   0.258
   19        2   0.175
    7        1   0.092

depend(19) upon(19) madam(15) cold(6) civility(6) receive(6) possible(15) attention(6) while(7) remains(15) 

DOC 288
TOPIC    COUNT    PROB
----------------------



DOC 289
TOPIC    COUNT    PROB
----------------------
   11        6   0.218
   13        5   0.182
    1        4   0.146
    8        3   0.111
   10        3   0.111
   12        2   0.075
    5        1   0.039
   15        1   0.039
   19        1   0.039

added(10) friends(12) become(8) ill(5) deal(13) greatest(19) patience(10) world(1) sweetest(1) temper(12) met(13) tell(1) girls(13) sweet(13) here(11) charming(1) prospect(15) gravel(11) walk(11) place(11) country(13) equal(10) netherfield(8) quitting(8) hurry(11) short(11) 

DOC 290
TOPIC    COUNT    PROB
----------------------
    9        4   0.273
   11        3   0.207
   15        3   0.207
    2        1   0.073
    8        1   0.073
   18        1   0.073

whatever(2) hurry(15) therefore(11) quit(18) netherfield(9) probably(11) off(9) five(8) minutes(11) present(15) consider(15) fixed(9) here(9) 

DOC 291
TOPIC    COUNT    PROB
----------------------
    0        1   0.275
   10        1   0.275

exactly(10) supposed(0) 

DOC 292
TOPIC    COUNT    PROB
----------------------
    5        1   0.183
   10        1   0.183
   11        1   0.183
   19        1   0.183

begin(19) comprehend(5) turning(11) towards(10) 

DOC 293
TOPIC    COUNT    PROB
----------------------
    4        1   0.275
    6        1   0.275

understand(4) perfectly(6) 

DOC 294
TOPIC    COUNT    PROB
----------------------
    1        3   0.388
    6        2   0.263
    0        1   0.138

take(1) compliment(6) easily(0) seen(6) through(1) afraid(1) 

DOC 295
TOPIC    COUNT    PROB
----------------------
   15        3   0.388
    7        1   0.138
   13        1   0.138
   14        1   0.138

happens(13) follow(15) deep(7) character(14) less(15) yours(15) 

DOC 296
TOPIC    COUNT    PROB
----------------------
   12        3   0.443
    4        1   0.157
   17        1   0.157

remember(12) run(12) wild(4) suffered(12) home(17) 

DOC 297
TOPIC    COUNT    PROB
----------------------
    0        2   0.300
    3        1   0.157
   10        1   0.157
   19        1   0.157

continued(10) immediately(0) character(0) amusing(3) study(19) 

DOC 298
TOPIC    COUNT    PROB
----------------------
    5        3   0.517
    3        1   0.183

characters(5) amusing(3) least(5) advantage(5) 

DOC 299
TOPIC    COUNT    PROB
----------------------
   17        4   0.315
   19        4   0.315
    9        1   0.085
   10        1   0.085
   13        1   0.085

country(17) general(13) supply(9) few(17) subjects(10) study(19) country(19) neighbourhood(17) move(19) confined(19) society(17) 

DOC 300
TOPIC    COUNT    PROB
----------------------
   12        4   0.586
   11        1   0.157

people(12) themselves(12) something(12) new(11) observed(12) 

DOC 301
TOPIC    COUNT    PROB
----------------------
   13        4   0.410
   19        2   0.210
    8        1   0.110
   18        1   0.110

offended(13) mentioning(19) country(13) neighbourhood(18) assure(13) going(13) country(19) town(8) 

DOC 302
TOPIC    COUNT    PROB
----------------------
    5        5   0.392
   17        3   0.238
   10        2   0.162
    2        1   0.085

everybody(17) surprised(17) looking(5) moment(5) turned(10) silently(17) fancied(5) gained(10) complete(5) continued(2) triumph(5) 

DOC 303
TOPIC    COUNT    PROB
----------------------
    8        4   0.373
   19        2   0.191
    2        1   0.100
   10        1   0.100
   15        1   0.100

london(8) advantage(15) country(8) part(19) except(2) public(19) places(8) country(8) deal(10) 

DOC 304
TOPIC    COUNT    PROB
----------------------
    8        3   0.258
    4        2   0.175
    6        1   0.092
   12        1   0.092
   13        1   0.092
   15        1   0.092
   18        1   0.092

country(8) leave(8) town(8) pretty(13) same(4) each(6) advantages(18) equally(15) happy(12) either(4) 

DOC 305
TOPIC    COUNT    PROB
----------------------
    5        2   0.233
   10        2   0.233
    1        1   0.122
    8        1   0.122
   12        1   0.122

aye(1) right(5) disposition(12) gentleman(10) looking(5) seemed(10) country(8) 

DOC 306
TOPIC    COUNT    PROB
----------------------
    1        2   0.175
    8        2   0.175
   12        2   0.175
   15        2   0.175
   11        1   0.092
   13        1   0.092

mamma(1) mistaken(12) meant(15) variety(11) people(12) met(13) country(8) town(8) acknowledge(15) true(1) 

DOC 307
TOPIC    COUNT    PROB
----------------------
   18        5   0.392
    6        3   0.238
   15        2   0.162
    1        1   0.085

certainly(15) nobody(1) meeting(6) people(15) neighbourhood(18) few(6) larger(18) dine(6) four(18) twenty(18) families(18) 

DOC 308
TOPIC    COUNT    PROB
----------------------
   10        6   0.305
   13        6   0.305
    9        4   0.205
   17        2   0.105

concern(9) keep(13) countenance(13) less(17) delicate(9) directed(10) eyes(10) towards(10) smile(10) sake(17) saying(10) something(13) turn(13) thoughts(10) asked(13) lucas(13) since(9) coming(9) 

DOC 309
TOPIC    COUNT    PROB
----------------------
   12        5   0.232
   13        5   0.232
    2        4   0.186
    6        2   0.095
   17        2   0.095
   14        1   0.050
   19        1   0.050

called(17) yesterday(14) agreeable(13) sir(2) william(2) fashion(12) genteel(2) easy(13) something(13) everybody(13) idea(6) breeding(2) those(12) persons(19) fancy(12) themselves(12) important(6) open(13) mistake(17) matter(12) 

DOC 310
TOPIC    COUNT    PROB
----------------------
    6        1   0.367

dine(6) 

DOC 311
TOPIC    COUNT    PROB
----------------------
    8        7   0.309
   19        7   0.309
   13        4   0.178
   17        2   0.091
   16        1   0.048

home(17) fancy(19) wanted(8) part(19) keep(13) servants(8) work(17) daughters(8) brought(19) differently(19) everybody(8) judge(19) themselves(8) lucases(8) sort(19) girls(8) assure(13) pity(13) handsome(13) plain(16) particular(19) 

DOC 312
TOPIC    COUNT    PROB
----------------------
   13        2   0.420
    9        1   0.220

seems(9) pleasant(13) woman(13) 

DOC 313
TOPIC    COUNT    PROB
----------------------
   13        8   0.386
    7        5   0.243
    0        2   0.100
    8        1   0.052
    9        1   0.052
   16        1   0.052
   17        1   0.052

plain(16) lucas(13) beauty(13) like(13) boast(17) child(0) anybody(13) looking(13) everybody(13) trust(7) partiality(7) fifteen(7) brother(13) town(8) law(7) offer(0) perhaps(7) wrote(13) pretty(9) 

DOC 314
TOPIC    COUNT    PROB
----------------------
    4        2   0.191
    5        2   0.191
   11        2   0.191
   12        2   0.191
    1        1   0.100

ended(4) affection(12) impatiently(1) fancy(11) overcome(5) same(4) wonder(5) discovered(12) driving(11) 

DOC 315
TOPIC    COUNT    PROB
----------------------
    2        1   0.275
   15        1   0.275

used(2) consider(15) 

DOC 316
TOPIC    COUNT    PROB
----------------------
    0        2   0.175
   12        2   0.175
   18        2   0.175
    4        1   0.092
   10        1   0.092
   14        1   0.092
   19        1   0.092

fine(18) everything(4) strong(0) already(14) slight(10) thin(18) sort(19) inclination(12) convinced(12) entirely(0) 

DOC 317
TOPIC    COUNT    PROB
----------------------
    8       15   0.321
    4        6   0.130
    7        5   0.109
    6        4   0.087
   10        4   0.087
    2        3   0.066
   11        3   0.066
   19        3   0.066
    0        1   0.023
   17        1   0.023

smiled(2) general(4) pause(10) lest(11) exposing(7) longed(10) speak(19) short(6) silence(11) began(6) repeating(4) thanks(8) kindness(8) apology(4) civil(8) answer(4) forced(4) younger(8) civil(8) occasion(2) required(7) performed(10) part(19) satisfied(11) afterwards(2) ordered(8) carriage(8) upon(19) youngest(8) daughters(8) put(6) forward(10) girls(8) whispering(7) each(7) during(17) whole(6) visit(8) result(7) youngest(8) promised(4) coming(0) country(8) ball(8) netherfield(8) 

DOC 318
TOPIC    COUNT    PROB
----------------------
    3       10   0.220
   19        8   0.176
    8        7   0.154
   12        6   0.133
   10        4   0.089
   11        4   0.089
    7        3   0.067
   13        1   0.024
   16        1   0.024

grown(11) girl(19) fifteen(7) fine(3) complexion(10) humoured(3) countenance(3) favourite(11) whose(11) affection(12) brought(19) public(19) early(12) age(19) high(11) spirits(8) sort(19) natural(7) self(12) consequence(12) attention(3) officers(8) whom(3) uncle(19) easy(3) manners(12) recommended(8) increased(3) assurance(10) equal(8) therefore(19) address(10) subject(7) ball(13) reminded(16) promise(12) adding(10) thing(8) world(19) keep(3) answer(8) sudden(3) attack(3) delightful(8) 

DOC 319
TOPIC    COUNT    PROB
----------------------
   13        4   0.315
    8        3   0.238
   12        2   0.162
   10        1   0.085
   16        1   0.085

perfectly(12) ready(16) assure(13) keep(8) engagement(8) recovered(10) please(12) name(8) ball(13) dancing(13) ill(13) 

DOC 320
TOPIC    COUNT    PROB
----------------------
   14        7   0.394
    8        4   0.228
    5        2   0.117
   19        2   0.117
   15        1   0.061

declared(8) satisfied(15) wait(14) likely(19) captain(14) carter(14) meryton(14) given(8) ball(8) added(5) insist(19) giving(8) tell(14) colonel(14) forster(14) shame(5) 

DOC 321
TOPIC    COUNT    PROB
----------------------
    3        6   0.339
   17        5   0.283
    6        2   0.117
   11        2   0.117
   18        1   0.061

daughters(18) returned(11) instantly(11) leaving(17) relations(17) behaviour(17) remarks(17) ladies(3) latter(6) whom(3) prevailed(17) join(6) censure(3) spite(3) fine(3) eyes(3) 

DOC 322
TOPIC    COUNT    PROB
----------------------



DOC 323
TOPIC    COUNT    PROB
----------------------
   16       16   0.555
    6        4   0.141
    9        4   0.141
    1        2   0.072
    0        1   0.038

passed(6) hurst(16) spent(9) hours(9) morning(9) continued(16) slowly(16) mend(1) evening(6) joined(16) party(16) drawing(16) table(16) appear(0) writing(16) seated(16) near(16) watching(16) progress(16) repeatedly(16) calling(1) off(9) attention(6) hurst(16) hurst(16) observing(6) game(16) 

DOC 324
TOPIC    COUNT    PROB
----------------------
    6        9   0.433
    5        3   0.148
   14        2   0.100
    3        1   0.052
    7        1   0.052
    9        1   0.052
   10        1   0.052
   13        1   0.052

took(6) sufficiently(13) amused(6) attending(6) passed(6) between(6) companion(6) either(6) lines(14) length(10) perfect(3) unconcern(9) received(6) formed(5) curious(6) exactly(14) union(5) opinion(5) each(7) 

DOC 325
TOPIC    COUNT    PROB
----------------------
    8        1   0.275
   17        1   0.275

delighted(8) receive(17) 

DOC 326
TOPIC    COUNT    PROB
----------------------
   10        1   0.367

answer(10) 

DOC 327
TOPIC    COUNT    PROB
----------------------
    8        2   0.420
   18        1   0.220

write(8) uncommonly(8) fast(18) 

DOC 328
TOPIC    COUNT    PROB
----------------------
   16        2   0.350
   12        1   0.183
   17        1   0.183

mistaken(12) write(16) rather(17) slowly(16) 

DOC 329
TOPIC    COUNT    PROB
----------------------
   18        3   0.310
    4        2   0.210
    8        2   0.210
    1        1   0.110

letters(4) occasion(18) write(1) course(8) year(18) letters(4) business(8) odious(18) 

DOC 330
TOPIC    COUNT    PROB
----------------------
   15        2   0.350
   19        2   0.350

fortunate(19) fall(19) instead(15) yours(15) 

DOC 331
TOPIC    COUNT    PROB
----------------------
    1        2   0.525

pray(1) tell(1) 

DOC 332
TOPIC    COUNT    PROB
----------------------
   14        3   0.517
    4        1   0.183

already(14) told(14) once(14) desire(4) 

DOC 333
TOPIC    COUNT    PROB
----------------------
    1        4   0.513
   13        1   0.138
   14        1   0.138

afraid(1) like(1) pen(14) mend(1) mend(1) remarkably(13) 

DOC 334
TOPIC    COUNT    PROB
----------------------
    1        2   0.525

thank(1) mend(1) 

DOC 335
TOPIC    COUNT    PROB
----------------------
    1        2   0.525

contrive(1) write(1) 

DOC 336
TOPIC    COUNT    PROB
----------------------
   16        1   0.367

silent(16) 

DOC 337
TOPIC    COUNT    PROB
----------------------
    1        3   0.238
   16        3   0.238
   12        2   0.162
    6        1   0.085
    8        1   0.085
   15        1   0.085

tell(1) delighted(8) hear(1) improvement(12) pray(1) raptures(16) beautiful(6) design(12) table(16) infinitely(16) superior(15) 

DOC 338
TOPIC    COUNT    PROB
----------------------
   15        4   0.513
    4        1   0.138
   16        1   0.138

leave(15) defer(15) raptures(16) write(4) present(15) justice(15) 

DOC 339
TOPIC    COUNT    PROB
----------------------
    1        1   0.183
    4        1   0.183
   10        1   0.183
   18        1   0.183

consequence(10) write(1) charming(18) letters(4) 

DOC 340
TOPIC    COUNT    PROB
----------------------
   12        2   0.350
    3        1   0.183
   18        1   0.183

generally(12) whether(12) charming(18) determine(3) 

DOC 341
TOPIC    COUNT    PROB
----------------------
    1        2   0.300
    2        2   0.300
   19        1   0.157

person(19) write(1) ease(2) write(1) ill(2) 

DOC 342
TOPIC    COUNT    PROB
----------------------
    2        3   0.344
    1        1   0.122
    5        1   0.122
    6        1   0.122
   18        1   0.122

compliment(2) caroline(6) brother(5) write(1) ease(2) words(2) four(18) 

DOC 343
TOPIC    COUNT    PROB
----------------------
    4        3   0.517
   15        1   0.183

style(4) writing(4) different(4) yours(15) 

DOC 344
TOPIC    COUNT    PROB
