
Full Report
epoch=1900
numDocs=2478
numTokens=6091
numWords=870
numTopics=15

TOPIC 0  (total count=391)
SYMBOL             WORD    COUNT   PROB          Z
   587           behind        5   0.013       1.2
   111           bottom        4   0.010       1.9

TOPIC 6  (total count=412)
SYMBOL             WORD    COUNT   PROB          Z
--------------------------------------------------
   188             sure       24   0.057       4.6
   616             jury       22   0.052       4.4
   547            added       19   0.045       3.6
   754             knew       14   0.033       3.5
   164            dance       13   0.031       3.4
   263              sea       13   0.031       3.2
   332          turning       12   0.029       3.2
   336             turn       11   0.026       3.1
   171             mine       10   0.024       3.0
   344              own       10   0.024       3.0
   596         children       10   0.024       3.0
    22             join        9   0.021       2.8
   687             does        9   0.021       2.8
    39            watch        8   0.019       2.6
   245        everybody        8   0.019       2.6
   334           happen        8   0.019       2.6
   822              arm        8   0.019       1.8
    13            moral        7   0.017       2.3
   108              isn        7   0.017       2.5
   309          believe        7   0.017       2.1
   544        wondering        7   0.017       2.5
   710             done        7   0.017       1.5
   846           though        7   0.017       1.9
   848            shoes        7   0.017       2.5
   163              saw        6   0.014       1.4
   624            doesn        6   0.014       1.2
    53         business        5   0.012       1.7
   131             case        5   0.012       2.1
   363             both        5   0.012       1.1
   461           pocket        5   0.012       1.7

TOPIC 7  (total count=421)
SYMBOL             WORD    COUNT   PROB          Z
--------------------------------------------------
    35             took       24   0.056       4.6
   436           minute       21   0.049       4.3
   804             hand       21   0.049       4.3
   143             soon       17   0.040       3.1
   467             side       17   0.040       3.8
   200          another       12   0.028       2.2
   457             else       12   0.028       3.2
   402           trying       11   0.026       2.7
   837           gloves       11   0.026       3.1
    42              fan       10   0.023       2.9
   127            mouth       10   0.023       2.9
   505             hold       10   0.023       2.9
   601         anything       10   0.023       1.9
   172             mind        9   0.021       2.5
   655              air        9   0.021       2.1
   752      opportunity        8   0.019       2.6
    12         somebody        6   0.014       2.1
    44             roof        6   0.014       2.3
   201              wow        6   0.014       2.3
   206           making        6   0.014       1.9
   279            fetch        6   0.014       2.1
   406      executioner        6   0.014       2.3
   559            along        6   0.014       2.3
   814           school        6   0.014       2.3
    24           taking        5   0.012       2.1
   137        whispered        5   0.012       2.1
   153            sadly        5   0.012       2.1
   214              kid        5   0.012       2.1
   337           hookah        5   0.012       2.1
   339          dropped        5   0.012       2.1

TOPIC 8  (total count=395)
SYMBOL             WORD    COUNT   PROB          Z
--------------------------------------------------
   412             wish       21   0.052       4.3
    72           rather       16   0.040       2.9
     0            dinah       14   0.035       3.5
    66          suppose       14   0.035       3.5
   689         remember       14   0.035       3.5
   340           afraid       12   0.030       3.2
   729            being       12   0.030       2.5
    99            tears       11   0.027       3.1
   379             grow       11   0.027       2.8
   552              pig       11   0.027       3.1
   634             pool       11   0.027       3.1
    63         offended       10   0.025       3.0
   783             keep       10   0.025       2.8
   254           saying        9   0.022       2.1
   588             gone        9   0.022       2.3
   605            house        9   0.022       1.8
   613          serpent        9   0.022       2.8
   707          timidly        9   0.022       2.8
   234              sir        7   0.017       2.5
   291           larger        7   0.017       2.5
   378             hadn        7   0.017       2.3
    21                o        6   0.015       2.3
    81           almost        6   0.015       2.3
   224       adventures        6   0.015       2.3
   425           window        6   0.015       1.9
   475       melancholy        6   0.015       2.3
   433             stop        5   0.012       1.9
   473          morning        5   0.012       2.1
   480           wouldn        5   0.012       1.2
   519             stay        5   0.012       2.1

TOPIC 9  (total count=390)
SYMBOL             WORD    COUNT   PROB          Z
--------------------------------------------------
   569              use       18   0.045       4.0
   483             bill       17   0.043       3.9
   416           turned       16   0.040       3.7
   578             gave       15   0.038       3.6
   173              end       14   0.035       3.1
   835            speak       14   0.035       3.4
   447             book       11   0.028       3.1
   860        creatures       10   0.025       3.0
   165            knave        9   0.023       2.8
    77             nose        8   0.020       2.6
   272            birds        8   0.020       2.3
   463             each        8   0.020       2.6
   556           hearts        8   0.020       2.6
   563          waiting        8   0.020       2.5
   575             seem        8   0.020       2.6
