<Congress of Industrial Organizations Political Action Committee, ORGANIZATION>
<Ronald Millar, PERSON>
<Clive James, PERSON>
<Queen Elizabeth II, PERSON>
<European Union, ORGANIZATION>
<Brighton, LOCATION>
<Mr Blair, PERSON>
<Mikhail Gorbachev, PERSON>
<Margaret Thatcher Center for Freedom, ORGANIZATION>
<EU, LOCATION>
<Dartford, LOCATION>
<Campaign for Nuclear Disarmament, ORGANIZATION>
<Western Europe, LOCATION>
<Michael Heseltine, PERSON>
<US, LOCATION>
<Jim Nicholson, PERSON>
<California, LOCATION>
<Dick Cheney, PERSON>
<BBC, ORGANIZATION>
<Bobby Sands, PERSON>
<Funding Agency for Schools, ORGANIZATION>
<National Rivers Authority, ORGANIZATION>
<Essex, LOCATION>
<Wales, LOCATION>
<Susan Strange, PERSON>
<Callaghan, LOCATION>
<Argentina, LOCATION>
<Unionist, ORGANIZATION>
<Muriel, PERSON>
<Alfred Roberts, PERSON>
<Westland, LOCATION>
<Dartford Conservative Association, ORGANIZATION>
<Shadow Cabinet, ORGANIZATION>
<Lord Liverpool, ORGANIZATION>
<Reagan-Gorbachev, PERSON>
<Jack Straw, PERSON>
<Friedrich von Hayek, PERSON>
<David Cameron, PERSON>
<Provisional Irish Republican Army, ORGANIZATION>
<Beatrice Ethel Stephenson, PERSON>
<Somerville College, ORGANIZATION>
<Parliamentary Undersecretary, ORGANIZATION>
<Middle East, LOCATION>
<LG, ORGANIZATION>
<Lord Howe of Aberavon, ORGANIZATION>
<James Callaghan, PERSON>
<Trafalgar Square, LOCATION>
<Augusto Pinochet, PERSON>
<republican, ORGANIZATION>
<House of Lords, ORGANIZATION>
<Arthur Scargill, PERSON>
<Institute of Economic Affairs, ORGANIZATION>
<BX Plastics, ORGANIZATION>
<FitzGerald, ORGANIZATION>
<Thatcher Peninsula, LOCATION>
<County of Lincolnshire, LOCATION>
<London Stock Exchange, ORGANIZATION>
<Westland, ORGANIZATION>
<Israel, LOCATION>
<Andrew Glyn, PERSON>
<Geoffrey Howe, PERSON>
<Heritage Foundation, ORGANIZATION>
<Hugh Gaitskell, PERSON>
<A. V. Dicey, PERSON>
<Washington, LOCATION>
<Thatcher Secretary of State for Education and Science, ORGANIZATION>
<Ministry of Pensions and National Insurance, ORGANIZATION>
<Northern Ireland, LOCATION>
<Social Market Foundation, ORGANIZATION>
<Congress, ORGANIZATION>
<Ofgas, ORGANIZATION>
<D.C., LOCATION>
<Scotland, LOCATION>
<SDLP, ORGANIZATION>
<Iain Duncan Smith, PERSON>
<Shadow Treasury, ORGANIZATION>
<Danny Morrison, PERSON>
<Tony Blair, PERSON>
<Denis Thatcher, PERSON>
<United States Senate, ORGANIZATION>
<Conservative Party Conference, ORGANIZATION>
<Germany, LOCATION>
